作答ID,text,themes
Q4wK6mgJ4o4,挑晚饭吃什么，方便点评还是拿不定主意。,不知道吃什么/选店困难
mnGXEkJbaZ4,周末和朋友聚餐，对比了十几家餐厅的口味、位置，还协调了大家的时间，纠结了很久才敲定，做这个决定特别累！,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换；路线/距离/时间安排
nNV3EZo14n0,周末约朋友吃饭，找遍了餐厅评价，位置人均消费，还是对比半天没有选择好，越选越累,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换；路线/距离/时间安排
nNV3EZX0E5d,,未填写
nNV3E4nEwDN,周末想约朋友出门聚餐，来回翻了十几家本地餐馆，对比口味、距离、排队时长和人均预算，反复征求大家意见，纠结半天还是定不下来，整个决策过程特别费心疲惫。,多人约饭/意见冲突；信息过载/多 App 切换；路线/距离/时间安排；执行不确定/约束检查
gnNKx4AgyG5,最近就这几天，我都不知道吃什么饭，就在美团，饿了么上面看半天，找半天都没找到什么吃的便宜的，看的很累。,不知道吃什么/选店困难；信息过载/多 App 切换；执行不确定/约束检查
Q4wK6PEOP0B,规划周末去哪玩。很纠结，最后哪也没去成,路线/距离/时间安排
XO2KQ6yGD3G,想找个地方随便吃点，结果刷半天点评软件，要么排队久要么评价踩雷，越选越烦，最后干脆点了外卖,不知道吃什么/选店困难；信息过载/多 App 切换；执行不确定/约束检查
nNV3E5Yyx8N,周末想和朋友找一家兼具性价比和安静环境的新餐厅聚餐，翻了好几款APP翻了上百条评价，一会纠结评分真假一会担心位置太远，选了快一个小时还没确定想去的店，感觉特别累,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换；路线/距离/时间安排
Q4wK6jvgERQ,已经计划好周末出游行程，约好的朋友临时爽约，出游计划停摆。,多人约饭/意见冲突；路线/距离/时间安排
bNxKj93RWRl,,未填写
mnGXE0p3Wag,,未填写
mnGXE03gzJd,,未填写
NRYKxnYmDQq,说好的周末一起外出游玩，结果计划没实施，落空了,路线/距离/时间安排
WPgKkW1GK1P,周末和朋友约饭 要同时协调大家的时间 口味偏好和交通距离 反复沟通了半天也定不下来 感觉特别累,多人约饭/意见冲突；路线/距离/时间安排
lxEYBOnBarq,周末想和朋友聚餐，反复对比多家餐厅的评分，距离和口碑，纠结很久难以决定,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换；路线/距离/时间安排
oBowEOgxzN6,纠结半天不知道周末去哪里游玩，反复对比多个地点和出行方案，做决定时十分耗费精力,信息过载/多 App 切换；路线/距离/时间安排
NRYKxJPbpmm,周末想约朋友吃饭方便了外卖软件和美食推荐对比的口味距离和人均选了快一个小时还没定下来吃什么,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换；路线/距离/时间安排
oBow4oDKPW6,约饭场景：上周和朋友约周末聚餐，在多个 App 里反复对比口味、预算和距离，纠结了 2 小时还没定下来，最后大家都累得不想出门了。吃饭场景：昨天中午点外卖，翻了几十家店看评价、比满减，选了 40 分钟才下单，吃完还觉得没选对，特别疲惫。周末规划场景：上周末想带家人去 citywalk，查了景点、路线、天气和餐厅，信息太杂越看越乱，最后干脆在家躺了一天。,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换；路线/距离/时间安排；执行不确定/约束检查
mnGXgdgjW4z,约个朋友吃饭，来回改了好几次时间和地点。,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换；路线/距离/时间安排
oBow4mnKVo4,就是五一小假期和几个朋友想出去露营 然后呢选了很多地方 然后每个人的意见也都不同 很难抉择 很令人头疼,多人约饭/意见冲突
vN623k9dOkx,规划五一野炊全家八个人找不到都一至通过的景点，花费两个小时还没做决定,路线/距离/时间安排
XO2Kdr4ZOjj,上周的时候我们打算去野餐，但是定了好久也没有决定去哪里，然后他们说让我在做做攻略，我觉得很累看了好久攻略又问了我的朋友最后才决定去哪。,多人约饭/意见冲突；信息过载/多 App 切换
oBow4N4Jj2d,五一和朋友约饭前的空闲时间决定去找个娱乐场所消遣时间，但因为假期缘故很多地方都没有空位，反复预订最后还是取消了,多人约饭/意见冲突；路线/距离/时间安排
nNV32pDvE2R,选聚餐地点，翻了半小时外卖软件都还没有定下来。很心累。,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换
NRYKrKblxqJ,我约人一起吃饭，但是他们有的不吃辣，有的不吃鸡肉牛肉，就需要提前了解餐厅的菜品，避免有的人吃不了，需要协调看哪个餐厅好就会很累。,不知道吃什么/选店困难；多人约饭/意见冲突
bNxK6KwayPN,周末和朋友一家一起聚餐，找餐厅，吃什么，纠结了几个小时。,不知道吃什么/选店困难；多人约饭/意见冲突；路线/距离/时间安排
WPgK4K0Bpzr,我选好了餐厅，也考虑了别人的口味，但是对方突然临时改口，我只能放弃规划迁就他,不知道吃什么/选店困难；多人约饭/意见冲突；路线/距离/时间安排
XO2Kd884dDj,做选择很犹豫也不好问大家吃什么,不知道吃什么/选店困难；多人约饭/意见冲突
oBow46VqB2n,最近一个人吃晚饭时，在App上翻遍了外卖和餐厅，对比了半小时还是没决定吃什么，感觉特别累。,不知道吃什么/选店困难；信息过载/多 App 切换
NRYKrVxklgg,五一期间做抉择挺难的。各抒己见的不知道怎么选择才能满足所有人的想法和需求。,其他具体经历
mnGXgyNOqmg,周末返程路线规划，等车太久，如果ai知道哪个站，哪个时间段人少就好了,路线/距离/时间安排
WPgK4q11EX0,同学之间团聚不知道吃什么，多个人无法做到意见统一,不知道吃什么/选店困难；多人约饭/意见冲突
XO2KdgXrY3d,在景区游玩，出来的时候最后一班观光车已经下班了，和朋友讨论该如何回酒店这件事，产生了比较大的分歧。,多人约饭/意见冲突；路线/距离/时间安排
nNV32XvG1Ga,周末和朋友聚餐，翻遍各种平台的餐厅推荐，对比口味、距离、人均预算来回沟通，一晚上都还没有确定下来环节跟吃什么,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换；路线/距离/时间安排；执行不确定/约束检查
vN623B2QN9x,不知道大家都吃什么，统一不了口味,不知道吃什么/选店困难；多人约饭/意见冲突
Q4wKQbDzvWY,和朋友约好去吃饭，到达吃饭地点时，由于人太多，得了将近一个小时！,不知道吃什么/选店困难；多人约饭/意见冲突
vN623R3XJpv,每次周末想安排出门吃饭游玩，翻遍各种平台选餐厅、挑游玩地点，还要兼顾距离和口味，来回纠结对比，整个过程特别耗精力，让人觉得特别心累。,不知道吃什么/选店困难；多人约饭/意见冲突；信息过载/多 App 切换；路线/距离/时间安排
WPgK4Z0mv3X,,未填写
XO2KdvNKJ8D,周末我约同学一起吃饭大家的意见不统一，很难做决定去哪吃,不知道吃什么/选店困难；多人约饭/意见冲突；路线/距离/时间安排
Q4wKQR00qmB,4445,其他具体经历
XO2KdvENO3G,不知道吃什么 两个人就在门口转悠了好几圈,不知道吃什么/选店困难
nNV32lDJmvA,上周末约朋友吃饭，李明出门了，张飞感冒不喝酒，没有约成，最后定在了这周末一起吃个饭。,不知道吃什么/选店困难；多人约饭/意见冲突；路线/距离/时间安排
nNV322ZyQRm,周末去餐厅吃饭 看了几家餐厅和评价后 还是没到价格合适又饭菜可口的店 最终选择随便吃一点,不知道吃什么/选店困难；路线/距离/时间安排；执行不确定/约束检查
bNxK6wD0Ebn,合理规划了时间和风评最好的用餐地点,路线/距离/时间安排
NRYKrBy53nW,晚上想点外卖，刷了半个多小时的软件，在各种菜品和优惠里来回救下，最后也没有想到满意的反而更烦了,不知道吃什么/选店困难；信息过载/多 App 切换
oBow4nOZ4GW,周末孩子想出去玩，但不知道去哪里。,路线/距离/时间安排
bNxK6bEKmJk,我在和朋友有时候出去逛周边都逛完了没意思,多人约饭/意见冲突
lxEYqbGa1Vp,,未填写
Q4wKQXGOG1b,和朋友出去吃饭，口味和预算不一致，感觉挑来挑去很累,不知道吃什么/选店困难；多人约饭/意见冲突；执行不确定/约束检查
XO2KdPK8K5D,有一次规划在周边旅游，但是天气变化很大，导致原有计划被打乱而且没有备选计划,路线/距离/时间安排
mnGXg1mbo1p,突发情况去看牙医，找不到合适诊所，不知医院预约挂号人数,突发/兜底需求
oBow4pNn1qW,我和朋友约在周末吃饭，但是由于工作上的不可抗因素，时间上不合理,不知道吃什么/选店困难；多人约饭/意见冲突；路线/距离/时间安排
oBow4p8mkO0,,未填写
NRYKrE3mOWg,上周约朋友去吃饭，路上很堵车，还下雨。,不知道吃什么/选店困难；多人约饭/意见冲突
XO2KdpPKYdD,上个周末约朋友吃饭不知道去哪吃，犹豫了很久,不知道吃什么/选店困难；多人约饭/意见冲突；路线/距离/时间安排
XO2KdoNbK3d,难约就算了，约上了等了半个小时说不来了，被放鸽子受不了。,其他具体经历
mnGXRZ868PK,请朋友吃饭纠结点哪家餐厅,不知道吃什么/选店困难；多人约饭/意见冲突
Q4wK9y64WYv,去野餐，跑了好几个地方，不允许野餐,执行不确定/约束检查
WPgK92oj5NB,上周和几个朋友小聚，因为她们居住的地方比较散、就选饭店地址的问题很是让我头疼，怎么选择都会有人不满意！,多人约饭/意见冲突
NRYK9b9WX1W,最近要和同学一起去拍摄实践作业，对于中午在哪里吃饭我们发生了分歧。我和另一位舍友想要吃火锅，但是其他舍友中有人不能吃辣，口味不合，协调多次无果。,不知道吃什么/选店困难；多人约饭/意见冲突
WPgyov6dmYb,找不到合适的店铺去玩,其他具体经历
XO2gNBQD688,纠结吃啥看了半天,其他具体经历
lxE1p1aRxEg,每天的午饭晚饭都想不到吃什么,不知道吃什么/选店困难
XO2mVaG2v1d,查找citywalk路线无法找到合适或就近的路线,路线/距离/时间安排
mnG5RB0QZBA,寻找环境比较好的电玩厅和台球厅。,其他具体经历
oBoxYN6RoEn,,未填写
oBoxYp1ZqO0,,未填写
WPgNlgqlJyG,吃饭大家的时间不一致不好协调,不知道吃什么/选店困难；多人约饭/意见冲突；路线/距离/时间安排
mnG5lVor5mg,,未填写
nNVOgEVg1Rm,约朋友不知道去哪家餐厅,不知道吃什么/选店困难；多人约饭/意见冲突
WPgNw9pZqnE,,未填写
oBox2dyoxDN,自驾游不知道吃啥，因为理论上哪都能去，导致范围太大无法决定目的地。,不知道吃什么/选店困难
mnG5xY3dabA,,未填写
vN6BX6yjnGV,多人出行但就就餐意见不合遂各往各店导致不欢而散,多人约饭/意见冲突；路线/距离/时间安排
nNVORP6XEod,,未填写
mnG5x0ZqgQA,吃什么外卖,不知道吃什么/选店困难
nNVOR6YXqmR,一个人想吃烧烤，但是没有找到合适的店,其他具体经历
WPgNaE4oKvB,每天点外卖都很累,不知道吃什么/选店困难
WPgNa9lxg64,,未填写
mnG5jVWDoP4,,未填写
nNVOKnRkO9B,,未填写
