作答ID,开始时间,结束时间,作答总时长(秒),作答渠道,省份,城市,设备类型,操作系统类型,浏览器类型,质检结果,你的身份是？,请选择你的年龄段,你使用 AI 工具(ChatGPT、Claude、豆包、Kimi、DeepSeek 等)的情况是?,你平时使用本地生活类 App 的频率如何？例如美团、大众点评、高德、小红书等。,你在哪类本地生活选择中最容易纠结？,在这类最容易纠结的选择中，你通常的状态更接近哪一种？,"如果有一个 AI 本地生活管家(能帮你做吃饭、出行、约饭、周末等本地生活决策),最接近你的真实反应是?",你更希望 AI 管家以哪种方式工作？,你平均多久会和朋友 / 同学 / 同事进行一次线下约饭、聚会或一起出行？,你是否经常遇到“和朋友约饭 / 聚会很难定下来”的情况？,"如果下次约饭遇到分歧,你最可能怎么做?",在多人决策中，你更希望 AI 怎么推荐？,AI 生成多人方案后，你是否希望它说明“照顾了谁的偏好、牺牲了什么”？,如果AI 在推荐前自动检查以下内容，你觉得最看重/最不看重哪一项？-最看重,如果AI 在推荐前自动检查以下内容，你觉得最看重/最不看重哪一项？-最不看重,如果 AI 发现推荐方案不满足你的条件，你希望它优先怎么做？,为保证问卷质量，本题请选择特定选项,你是否希望 AI 管家记住你的个人长期偏好？例如不吃辣、预算、人均消费、常去区域等,关于 AI 记录朋友 / 同事 / 小团体偏好，你更能接受哪种方式？,"请你回想最近一次""做本地生活决策很累""的经历,可能是吃饭、约人、规划周末或别的事。请用 1-2 句话描述这件事",school_work_status,school_work_rule
XO2Km21EW8D,2026-05-08 16:34:13,2026-05-08 16:39:31,318,数据集市,四川省,南充市,MOBILE,Android,Chrome,正常,B. 本科生,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,A. 我问它，它再回答,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,C. 无所谓，有没有都可以,是否排队太久,是否超预算,B. 主动追问缺失信息后再修改,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,有些人的口味不同,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
oBowxDgB02n,2026-05-08 16:35:17,2026-05-08 16:39:25,248,数据集市,广西壮族自治区,南宁市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,27-30 岁,C.每周使用几次，有需要时才用,B. 每周 3-5 次,D. 怎么安排本地路线 / 活动顺序,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,B. 有时,C. 让最积极 / 最熟悉的人来决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否排队太久,是否太远,B. 主动追问缺失信息后再修改,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,吃饭不懂吃什么，特别是周末的时候。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
vN62BvrXkrV,2026-05-08 16:34:23,2026-05-08 16:39:16,293,数据集市,湖北省,武汉市,COMPUTER,Windows,Chrome,正常,B. 本科生,30 岁以上,C.每周使用几次，有需要时才用,A. 几乎每天使用,C. 周末去哪玩 / citywalk / 看展,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,D. 不太希望，觉得解释太多会麻烦,是否太远,是否超预算,D. 给出几个不完美但可选的备选方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,五一期间和家人商量去哪里游玩，老婆想去观景的地方，我想去能带孩子游玩的地方，因此而纠结。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
bNxK8XGr8dk,2026-05-08 16:34:00,2026-05-08 16:39:06,306,数据集市,贵州省,贵阳市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,C. 周末去哪玩 / citywalk / 看展,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否排队太久,B. 主动追问缺失信息后再修改,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,上周假期期间，和朋友约饭，光是确定吃什么就花了好几个小时，在火锅，炒菜，烧烤翻来覆去看，每个人都有自己的想法和忌口，在各种app上看了一遍又一遍，最后还是随便选了一家，感觉心累。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
bNxKZ6N4Dry,2026-05-08 16:17:48,2026-05-08 16:21:42,234,数据集市,广东省,广州市,COMPUTER,Windows,Chrome,正常,B. 本科生,23-26 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,B. 需要比较多个 App 或问朋友后才能决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否营业,B. 主动追问缺失信息后再修改,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,我跟朋友约好出去吃饭，但不知道吃什么，非常纠结,边界模糊-剔除,23-26 岁 + 专科/本科生
nNV3y4jm48N,2026-05-08 16:13:14,2026-05-08 16:19:24,370,数据集市,广西壮族自治区,防城港市,MOBILE,iOS,WeChat,正常,A. 专科,30 岁以上,C.每周使用几次，有需要时才用,B. 每周 3-5 次,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否超预算,是否有人的需求被明显牺牲,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,下班了想找地方吃饭，翻看了大量评论，对比了很多家菜品，反复纠结，花了很久的时间才选择出要吃饭的地方,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
XO2KvV58oKB,2026-05-08 16:08:28,2026-05-08 16:15:28,420,数据集市,广东省,广州市,MOBILE,iOS,Apple WebKit,正常,A. 专科,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,D. 怎么安排本地路线 / 活动顺序,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否排队太久,是否超预算,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,上周约朋友去吃饭，两个人都不知道吃什么，在做选择时犹豫了很久，后面通过网络平台搜索了一家店铺去试了试,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
Q4wKRlDjqOq,2026-05-08 15:54:34,2026-05-08 16:13:28,1134,数据集市,广西壮族自治区,南宁市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,23-26 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,C. 经常拖很久也决定不了,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,A. 经常,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,C. 无所谓，有没有都可以,是否超预算,是否营业,B. 主动追问缺失信息后再修改,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,今天晚上吃什么就很头疼,边界模糊-剔除,23-26 岁 + 专科/本科生
Q4wK6gpZxa4,2026-05-08 16:03:51,2026-05-08 16:08:49,298,数据集市,湖北省,襄阳市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,30 岁以上,C.每周使用几次，有需要时才用,C. 每周 1-2 次,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,上周和朋友约吃饭，在平台对比了多家店铺口味和位置，讨论了一个小时才定好餐厅，觉得很耗精力，心很累。,已工作,明确选择已工作 1-3 年/3 年以上
nNV3EWO6qQn,2026-05-08 16:01:23,2026-05-08 16:07:40,377,数据集市,广东省,广州市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,27-30 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,D. 怎么安排本地路线 / 活动顺序,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,C. 每月 1-3 次,C. 很少,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否太远,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,我规划周末路线的时候，会需要经常切换app就会觉得很累。因为要看路线，也要看景点评分，餐厅的位置等等，就会感觉很累。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
bNxKjZG9kAd,2026-05-08 15:54:34,2026-05-08 16:07:24,770,数据集市,贵州省,六盘水市,MOBILE,Android,Chrome,正常,B. 本科生,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",C. 每周 1-2 次,D. 怎么安排本地路线 / 活动顺序,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否太远,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,？这个周末回老家由于没开车，对乘坐的交通工具和路线很纠结,边界模糊-剔除,23-26 岁 + 专科/本科生
lxEYBZmywR9,2026-05-08 15:54:05,2026-05-08 16:06:28,743,数据集市,河南省,漯河市,MOBILE,Android,WeChat,正常,F. 已工作 3 年以上,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",C. 每周 1-2 次,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,A. 直接给一个最优方案,D. 不太希望，觉得解释太多会麻烦,是否排队太久,是否太远,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,有一次中午下班后不想一个人做饭，就想点份外卖。但翻过来翻过去感觉不是口味不合适就是价格太贵，一直纠结了半个多小时后才定下来,已工作,明确选择已工作 1-3 年/3 年以上
Q4wK6mgJ4o4,2026-05-08 15:54:48,2026-05-08 16:05:51,663,数据集市,黑龙江省,哈尔滨市,MOBILE,Android,Chrome,正常,C. 研究生,30 岁以上,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否营业,是否超预算,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,挑晚饭吃什么，方便点评还是拿不定主意。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
mnGXEkJbaZ4,2026-05-08 15:55:38,2026-05-08 16:05:21,583,数据集市,山东省,淄博市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否营业,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,周末和朋友聚餐，对比了十几家餐厅的口味、位置，还协调了大家的时间，纠结了很久才敲定，做这个决定特别累！,已工作,明确选择已工作 1-3 年/3 年以上
nNV3EZo14n0,2026-05-08 15:54:14,2026-05-08 16:04:51,637,数据集市,江西省,南昌市,MOBILE,iOS,Apple WebKit,正常,C. 研究生,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,B. 它可以在合适时间主动提醒我,A. 每周 3 次及以上,B. 有时,C. 让最积极 / 最熟悉的人来决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否排队太久,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,周末约朋友吃饭，找遍了餐厅评价，位置人均消费，还是对比半天没有选择好，越选越累,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
nNV3EZX0E5d,2026-05-08 15:54:33,2026-05-08 16:04:49,616,数据集市,河北省,保定市,MOBILE,Android,Chrome,正常,B. 本科生,27-30 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,C. 周末去哪玩 / citywalk / 看展,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,A. 经常,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否超预算,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
nNV3E4nEwDN,2026-05-08 16:00:37,2026-05-08 16:04:42,245,数据集市,江西省,南昌市,MOBILE,Android,Chrome,正常,B. 本科生,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",C. 每周 1-2 次,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否营业,是否太远,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,周末想约朋友出门聚餐，来回翻了十几家本地餐馆，对比口味、距离、排队时长和人均预算，反复征求大家意见，纠结半天还是定不下来，整个决策过程特别费心疲惫。,边界模糊-剔除,23-26 岁 + 专科/本科生
gnNKx4AgyG5,2026-05-08 15:54:18,2026-05-08 16:04:39,621,数据集市,陕西省,宝鸡市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,D. 很少,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否超预算,是否排队太久,E. 不需要 AI 主动处理，我会重新提问,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,最近就这几天，我都不知道吃什么饭，就在美团，饿了么上面看半天，找半天都没找到什么吃的便宜的，看的很累。,已工作,明确选择已工作 1-3 年/3 年以上
